age,hours_per_week,workclass,education,marital_status,occupation,race,gender,income
49,40,0,-5,-4,-2,-1,-1,>=50k
33,50,-2,-4,-4,-4,-1,-1,<50k
30,40,-2,-2,-2,-3,-1,-1,<50k
43,50,0,-6,-2,-4,-1,0,>=50k
57,40,-2,0,-4,-4,-1,-1,<50k
37,40,-2,-1,0,0,-1,0,<50k
28,25,-2,-1,0,0,0,0,<50k
30,35,-2,-5,-4,-3,0,0,<50k
34,40,0,-7,-4,-2,-1,-1,>=50k
29,50,0,-1,-2,0,-1,-1,<50k
48,60,-1,-6,-4,-4,-1,-1,>=50k
37,48,-2,-1,-4,-3,-1,-1,>=50k
48,40,-2,0,0,-1,-1,0,<50k
32,40,0,-5,-2,-2,0,-1,<50k
76,40,-2,-4,-4,-1,-1,-1,>=50k
44,60,-2,-7,-4,-1,-1,-1,>=50k
47,50,-1,-4,-2,-4,-1,0,<50k
20,40,-2,-1,-2,-2,-1,0,<50k
29,40,-2,-5,-2,0,-1,-1,<50k
32,40,-1,-5,-4,0,-1,-1,>=50k
17,32,-3,-2,-2,-5,-1,0,<50k
30,40,-2,-2,-2,0,-1,-1,<50k
31,40,0,-5,-2,-1,-1,0,<50k
42,40,-2,-5,-4,0,-1,-1,<50k
24,40,-2,-7,-2,-3,-1,-1,<50k
38,40,-2,-3,-4,-4,-1,-1,>=50k
56,50,-1,-5,-4,-2,-1,-1,>=50k
28,25,-2,-1,-4,-3,-1,0,<50k
36,40,-2,-5,-2,0,-1,0,<50k
53,50,-2,-2,-4,0,-1,-1,<50k
56,50,-1,-1,-4,-3,-1,-1,<50k
49,40,0,0,-4,0,0,-1,>=50k
55,56,-2,-1,-4,-3,-1,-1,<50k
22,41,-2,-5,-2,0,-1,-1,<50k
21,40,-2,-1,-2,-2,-1,0,<50k
40,60,-2,-7,-4,-1,-1,-1,<50k
30,40,-2,-7,-2,-1,0,-1,<50k
29,50,0,-7,-4,-4,-1,-1,>=50k
19,35,-2,-1,-2,-2,0,-1,<50k
47,40,-2,-7,-4,-1,-1,0,>=50k
20,28,-2,-1,-2,-1,-1,0,<50k
31,40,-2,0,-4,-1,-1,-1,>=50k
35,40,-3,-5,-4,-5,-1,-1,<50k
39,40,-2,-1,0,0,-1,-1,<50k
28,60,-2,0,-2,-3,-1,0,<50k
24,40,-2,-5,-2,-2,-1,0,<50k
38,35,-1,-5,-4,0,-1,-1,<50k
37,50,-2,-7,-4,-3,-1,-1,<50k
46,36,-2,0,0,-2,0,0,<50k
38,40,0,-4,-4,-4,-1,-1,>=50k
43,60,-1,-5,-4,0,-1,-1,<50k
27,35,-2,0,-4,-1,-1,0,<50k
20,20,-2,-1,-2,-3,-1,-1,<50k
49,40,-2,-1,-4,0,0,-1,>=50k
61,40,-1,-5,-4,0,-1,-1,<50k
27,40,-2,-1,-2,-3,-1,0,<50k
19,30,-2,-1,-2,-2,-1,-1,<50k
45,40,-2,0,-2,-4,-1,0,>=50k
70,40,-2,-1,-2,-2,-1,-1,<50k
31,30,-2,-5,-2,0,0,0,<50k
22,24,-2,-1,-4,-2,-1,-1,<50k
36,24,-2,-5,-1,-2,-1,0,<50k
64,40,-2,-2,-4,0,-1,-1,<50k
43,40,-3,-1,0,-5,-1,0,<50k
47,38,0,-1,0,-1,-1,0,<50k
34,40,-2,-5,-2,-1,-1,0,<50k
33,40,-2,-7,-2,-1,0,0,<50k
21,35,-2,-5,-2,0,-1,-1,<50k
52,45,-3,-5,0,-5,-1,-1,>=50k
48,46,-2,-5,-4,0,-1,-1,<50k
23,40,-2,-7,-2,0,-1,-1,<50k
71,2,-1,-1,-3,-3,0,-1,<50k
29,60,-2,-5,0,0,-1,-1,<50k
42,50,-2,-7,-3,-2,0,-1,<50k
68,20,-3,-2,0,-5,-1,0,<50k
25,40,-2,-5,-2,-2,-1,0,<50k
44,40,-1,-4,0,-1,0,0,<50k
28,40,-2,-5,-2,-1,0,0,<50k
45,40,-1,-4,-4,-3,-1,-1,>=50k
36,40,-2,-1,0,-2,-1,0,<50k
39,42,0,0,-2,-1,-1,-1,<50k
46,40,0,-4,-1,-2,-1,-1,<50k
18,16,-2,-2,-2,0,-1,-1,<50k
66,20,0,0,-1,-4,-1,0,<50k
27,40,-2,-5,-2,-2,-1,-1,<50k
28,40,0,-5,-4,-2,-1,-1,<50k
51,40,-2,-1,-4,-3,-1,-1,>=50k
27,50,-2,-7,-2,0,-1,-1,<50k
28,40,0,-7,-4,-4,-1,-1,>=50k
27,25,-2,-5,-4,-3,-1,0,<50k
21,40,-2,-5,-2,0,0,-1,<50k
34,40,-2,-5,-2,0,0,-1,<50k
18,12,-2,-5,-2,-2,-1,-1,<50k
33,65,-2,-7,-4,-4,-1,-1,<50k
44,38,0,-1,-4,-1,0,-1,>=50k
43,40,-2,-1,0,-1,-1,0,<50k
30,45,-2,-1,-2,0,0,-1,<50k
40,40,-2,-2,-4,0,-1,-1,>=50k
37,42,0,-1,-4,-1,-1,-1,>=50k
34,40,-2,-5,-4,-1,0,-1,<50k
41,40,-1,-7,0,-1,-1,0,<50k
53,50,-3,-7,0,-5,-1,0,<50k
31,50,-2,-4,-4,-4,-1,0,<50k
58,1,0,-6,-4,-4,-1,-1,>=50k
38,28,-2,-1,0,0,0,0,<50k
24,40,-2,-1,-4,0,-1,-1,<50k
41,40,0,-7,-4,0,0,-1,<50k
47,45,-2,-1,-4,-2,-1,-1,<50k
41,24,0,-7,-4,-2,-1,-1,<50k
23,40,-2,-2,-4,0,-1,-1,<50k
36,40,-2,-1,0,0,-1,-1,<50k
40,55,0,-4,-2,-1,-1,0,>=50k
35,40,-2,-4,-4,-4,-1,-1,>=50k
24,40,-1,-5,-2,-3,-1,-1,<50k
26,40,-2,-4,-2,-4,-1,0,<50k
19,40,-3,-5,-2,-5,-1,-1,<50k
51,50,-2,-7,-4,-1,-1,-1,>=50k
42,40,0,-1,-2,-4,-1,0,<50k
37,35,0,-5,0,-1,-1,0,<50k
18,40,-2,-2,-2,-3,-1,0,<50k
36,36,-2,-7,-4,-2,0,-1,>=50k
35,60,-2,-5,0,0,-1,-1,<50k
58,35,-1,-5,-4,-3,-1,0,>=50k
17,12,-2,-2,-2,-3,-1,0,<50k
44,40,0,-5,-4,0,0,-1,<50k
37,40,-2,-5,-4,0,-1,-1,>=50k
35,40,-2,-1,-2,-3,0,0,<50k
60,40,-2,-5,-4,0,0,-1,<50k
54,40,-1,-2,-4,0,-1,-1,>=50k
37,60,-2,-7,-2,-1,0,-1,>=50k
50,40,-2,0,0,-3,-1,0,<50k
38,50,-2,-7,-4,-3,-1,-1,<50k
45,55,-2,-7,-4,-4,-1,-1,<50k
25,40,-2,-2,-2,0,-1,-1,<50k
31,40,-2,-1,-4,0,-1,-1,<50k
64,40,-3,-2,0,-5,-1,-1,<50k
90,40,-2,-5,-2,-2,0,-1,<50k
54,20,-2,-5,-4,-1,0,-1,<50k
53,35,0,-2,-2,0,-1,0,<50k
18,40,-2,-5,-2,-3,-1,0,<50k
60,10,-3,-2,0,-5,0,0,<50k
66,50,-1,-5,-4,0,-1,-1,<50k
75,20,-2,0,-1,-1,-1,0,<50k
65,40,-2,-5,0,-1,-1,0,<50k
35,40,-2,-2,-3,0,0,-1,<50k
41,38,-2,-5,0,-3,0,0,<50k
25,42,-2,-1,-2,-1,-1,-1,<50k
33,40,-2,-1,0,0,0,0,<50k
28,55,-2,-3,-2,-4,-1,-1,>=50k
59,40,0,-5,-4,-2,-1,-1,<50k
40,38,0,-1,-2,-1,-1,0,<50k
41,50,-2,-7,-4,-1,-1,-1,>=50k
38,70,0,-4,-4,-1,-1,-1,>=50k
23,40,-2,-5,-2,0,-1,-1,<50k
40,40,-2,-7,-4,-4,-1,-1,>=50k
41,20,-1,-5,-4,-2,-1,0,<50k
24,50,0,0,-4,-2,-1,-1,<50k
20,20,-3,-1,-2,-5,-1,-1,<50k
38,40,-2,-1,0,0,-1,-1,<50k
56,35,-2,-5,-4,-1,-1,-1,<50k
58,45,-2,-5,-4,-1,-1,-1,>=50k
32,34,-2,-5,-2,-2,-1,0,<50k
40,60,-2,0,-4,-2,-1,-1,>=50k
45,40,-2,-5,-4,-1,-1,-1,<50k
41,40,-2,-3,-4,-4,-1,0,>=50k
42,40,-2,-7,-4,-1,0,0,<50k
59,30,0,-2,-1,-2,0,0,<50k
19,40,0,-1,-2,-1,-1,-1,<50k
58,20,-2,-1,-2,0,-1,-1,<50k
42,40,-1,-5,-4,0,0,-1,>=50k
20,40,-2,-5,-2,-2,-1,0,<50k
32,30,-2,-5,-3,-2,-1,0,<50k
45,45,-2,0,-1,-1,-1,0,<50k
50,40,-2,-2,0,0,-1,-1,<50k
36,40,-2,-7,0,-4,-1,0,<50k
45,60,-2,-5,-4,-3,-1,-1,<50k
17,12,-2,-2,-2,-2,-1,-1,<50k
59,40,-2,-1,-4,-3,-1,-1,<50k
26,40,-2,-2,-4,0,-1,-1,<50k
37,75,-1,-1,-4,-1,0,-1,>=50k
19,24,-3,-1,-2,-5,-1,-1,<50k
64,40,-2,-5,-4,-1,-1,-1,>=50k
33,45,-2,-7,-2,-4,-1,0,<50k
33,40,-2,-5,-4,0,-1,0,>=50k
61,40,-2,-5,-4,-1,-1,-1,>=50k
17,24,-2,-2,-2,-2,-1,-1,<50k
50,98,-1,-4,-4,0,-1,-1,<50k
27,35,0,-4,-2,-4,-1,-1,<50k
30,40,-2,-5,0,-4,-1,0,<50k
43,40,-2,-5,-4,0,0,-1,<50k
44,40,-2,-1,-4,0,-1,-1,>=50k
35,40,-2,-1,-2,-1,-1,0,<50k
25,40,-2,-1,-2,-2,-1,0,<50k
24,48,-2,-1,-4,0,-1,0,>=50k
22,15,-2,-7,-2,-4,-1,0,<50k
42,40,0,-1,-4,0,-1,-1,>=50k
34,45,-2,0,0,-3,0,0,<50k
60,42,-2,-7,0,-4,-1,0,<50k
21,40,-2,-5,-2,0,-1,-1,<50k
57,40,0,-4,-4,-3,-1,-1,>=50k
41,60,-2,-3,-4,-4,-1,-1,>=50k
50,45,-2,-1,0,-2,-1,-1,<50k
25,40,-2,-7,-2,-1,-1,0,<50k
50,40,-2,-2,-4,0,-1,-1,<50k
36,45,-2,-7,-4,-4,-1,-1,<50k
31,40,-2,-5,0,-4,-1,0,<50k
29,56,0,-7,-2,-2,-1,-1,<50k
21,45,-2,-1,-2,-3,-1,-1,<50k
27,40,-2,-7,-2,-2,0,0,<50k
65,16,-2,-5,-4,0,-1,-1,<50k
37,60,-1,-7,0,-3,-1,0,<50k
39,40,-3,-4,-4,-5,0,0,<50k
24,40,-2,-5,-2,0,-1,-1,<50k
38,80,-2,-5,0,-3,-1,-1,<50k
48,40,-2,-7,-4,-1,-1,-1,>=50k
21,25,-2,-1,-2,-2,0,0,<50k
31,45,-2,-5,-4,0,-1,-1,>=50k
55,40,-2,-5,-4,-3,-1,-1,>=50k
24,40,-2,-1,-4,-1,0,0,<50k
43,40,-2,-5,0,-1,-1,0,<50k
26,45,-2,0,-2,-2,-1,-1,<50k
46,33,-2,0,-2,-4,-1,0,<50k
35,40,-2,0,-4,-1,-1,-1,>=50k
41,54,-1,-1,-4,0,-1,-1,>=50k
26,40,-2,-7,-2,-3,-1,-1,<50k
34,35,-2,-4,-4,-1,0,-1,>=50k
19,25,-3,-1,-2,-5,0,0,<50k
36,40,-1,-7,0,-4,0,0,>=50k
22,15,-2,-1,-2,-3,-1,-1,<50k
24,40,-2,-1,-2,0,-1,-1,<50k
77,40,-1,-1,-4,-3,-1,-1,<50k
22,40,-2,-2,-4,0,-1,0,<50k
29,40,-2,-1,-2,-2,-1,0,<50k
62,24,-2,-5,-1,-2,-1,0,<50k
39,40,-1,-5,-4,-1,-1,-1,<50k
43,50,-2,-1,-4,0,-1,-1,<50k
35,45,-2,-5,0,0,-1,-1,<50k
29,40,-2,-2,-2,-1,-1,0,<50k
76,10,-1,-4,-4,0,-1,-1,<50k
63,45,-1,-5,-4,0,-1,-1,<50k
23,15,-3,0,-2,-5,0,0,<50k
43,50,-2,-1,-4,-4,-1,0,>=50k
58,40,-1,-5,-4,0,-1,-1,<50k
66,55,-2,-5,-2,0,-1,-1,<50k
41,45,-2,-1,-2,0,0,-1,<50k
26,40,-2,-7,-2,-1,-1,-1,<50k
47,40,-2,0,-2,-2,-1,-1,<50k
55,40,0,-2,-4,-1,-1,-1,<50k
53,40,-2,-5,-4,0,-1,-1,<50k
17,48,-2,-2,-2,-2,-1,-1,<50k
30,40,-2,-5,-2,0,-1,-1,<50k
49,60,-2,-4,-2,-4,-1,-1,<50k
19,30,-2,-5,-2,-3,0,-1,<50k
45,40,-2,-5,-4,-2,0,-1,<50k
26,40,-2,0,-2,-3,-1,-1,<50k
38,40,-2,0,-4,0,-1,-1,>=50k
36,40,0,-5,-4,-2,-1,-1,>=50k
33,20,-2,-5,-2,0,-1,-1,<50k
22,40,0,-1,-2,-2,0,0,<50k
43,42,-1,-7,-2,-3,-1,-1,<50k
67,8,-3,-2,-4,-5,-1,-1,<50k
30,40,-3,0,0,-5,-1,0,<50k
56,25,-2,0,-4,-2,-1,-1,<50k
31,25,-2,-7,-2,-4,-1,-1,<50k
33,40,-2,-7,-4,-1,-1,-1,>=50k
26,40,-2,-5,-4,-2,-1,-1,<50k
33,40,-2,-7,-4,-1,-1,-1,>=50k
46,30,0,-2,-4,0,-1,-1,<50k
59,40,-3,-7,-4,-5,-1,-1,>=50k
38,40,0,-5,-4,-1,-1,-1,>=50k
65,40,-2,-2,-1,-2,0,-1,<50k
40,40,-2,0,-4,-2,-1,-1,>=50k
42,35,-2,-5,-4,-1,-1,0,<50k
26,40,-1,-2,-4,0,-1,-1,<50k
36,24,-2,-2,-4,-2,-1,0,<50k
62,40,-2,-4,-4,-4,-1,-1,>=50k
43,45,-2,-7,-4,0,-1,-1,<50k
43,45,-2,-7,0,-1,-1,-1,>=50k
22,55,-2,-5,-4,-3,-1,-1,<50k
28,40,-2,-5,-4,0,-1,-1,<50k
56,45,-1,-1,-4,-3,-1,-1,<50k
22,15,-2,0,-2,-3,-1,0,<50k
57,45,-2,-7,0,-1,-1,0,>=50k
39,40,-2,-5,0,-3,-1,0,<50k
26,15,0,-1,-2,-1,-1,0,<50k
17,10,-2,-2,-2,-2,-1,-1,<50k
40,38,0,0,-4,0,-1,-1,>=50k
45,40,-2,-5,-4,0,0,-1,<50k
44,40,-2,-5,-2,0,0,-1,<50k
20,10,0,-1,-2,-1,-1,0,<50k
33,40,-2,-5,-4,0,-1,0,<50k
23,40,-2,-1,-2,-3,-1,-1,<50k
46,30,-1,-4,0,-1,-1,-1,<50k
38,50,-2,-5,-4,-3,-1,-1,<50k
54,40,-2,-5,0,0,-1,-1,<50k
46,45,-2,-2,0,0,-1,0,<50k
25,40,-2,-1,-4,0,-1,-1,<50k
46,40,-2,-1,0,-3,-1,0,<50k
36,40,0,-1,-4,0,-1,0,<50k
23,25,-2,-5,-2,-2,-1,0,<50k
29,40,-2,-5,-3,0,-1,-1,<50k
44,6,-2,-1,-4,-1,-1,0,>=50k
19,16,-2,-1,-2,-1,-1,0,<50k
19,40,-2,-5,-2,-2,-1,0,<50k
35,40,-2,-5,-4,-2,-1,0,>=50k
27,50,-2,-7,-2,0,-1,-1,<50k
46,40,-1,0,-3,0,-1,-1,<50k
34,45,0,-7,-4,-1,-1,-1,>=50k
34,35,-2,-5,-2,-2,-1,0,<50k
44,40,-2,-1,-4,-2,-1,-1,<50k
45,40,-2,-1,0,0,-1,0,<50k
20,35,-3,-5,-2,-5,-1,0,<50k
25,55,-2,-7,-4,-1,-1,-1,>=50k
52,50,-1,-7,-4,-1,-1,-1,>=50k
20,40,-2,-1,-2,0,-1,-1,<50k
28,40,-2,-1,-2,-2,-1,0,<50k
50,40,0,-7,-4,-2,-1,-1,>=50k
34,64,-2,0,0,-2,-1,0,<50k
28,40,-2,-2,-4,0,0,-1,<50k
41,65,-2,-4,-4,-1,-1,-1,>=50k
28,40,-2,-5,-4,-1,-1,-1,<50k
46,25,-1,-5,-4,0,-1,-1,<50k
28,40,-3,-1,-4,-5,-1,0,>=50k
32,50,-2,-1,-4,-1,-1,-1,<50k
41,24,0,-1,0,-2,0,0,<50k
24,40,-2,-5,-2,0,0,0,<50k
33,40,-2,-1,0,-1,-1,0,<50k
46,60,-2,-6,-4,-1,-1,-1,>=50k
31,40,0,-1,-4,0,-1,-1,<50k
35,50,-2,-2,0,0,-1,-1,>=50k
52,40,-2,-2,-4,0,-1,-1,<50k
30,19,-2,-2,-2,-2,-1,0,<50k
34,40,0,-2,-3,0,0,-1,<50k
34,40,0,-5,0,0,-1,0,<50k
20,30,-2,-1,-4,-3,-1,-1,<50k
17,18,-2,-2,-2,0,-1,-1,<50k
32,40,0,-7,-4,-1,-1,0,>=50k
29,40,-2,-5,0,0,-1,-1,<50k
33,35,-2,-2,-2,0,-1,0,<50k
25,60,-2,-5,-4,0,-1,-1,<50k
36,40,0,-4,-2,-4,-1,-1,<50k
23,72,-2,-5,-2,0,-1,-1,<50k
63,40,-1,-5,-4,-1,-1,-1,>=50k
47,40,0,-4,-4,-4,-1,-1,<50k
80,24,-3,-5,-1,-5,-1,-1,<50k
17,40,-3,-2,-2,-5,-1,-1,<50k
40,40,-1,-7,-4,-4,-1,0,<50k
30,25,-2,0,-4,-2,-1,0,>=50k
27,40,-2,-1,-2,0,0,-1,<50k
33,50,-2,-4,-4,-4,-1,-1,>=50k
34,60,0,-5,-2,0,0,-1,<50k
34,40,0,-1,-2,-2,-1,0,<50k
23,40,-2,-1,-4,-1,-1,-1,<50k
42,40,0,-1,-4,-1,-1,0,<50k
29,40,-2,-7,-2,-4,-1,-1,<50k
45,28,-2,-5,0,-1,-1,0,<50k
24,40,0,-5,-2,-5,-1,-1,<50k
44,40,-2,-1,-4,-4,-1,-1,>=50k
27,40,-2,-2,-2,0,-1,-1,<50k
20,35,-2,-1,-2,-3,-1,-1,<50k
44,40,-2,-5,-1,-1,0,0,<50k
51,40,-2,-5,-4,0,0,-1,<50k
20,40,-2,-5,-4,0,-1,-1,<50k
17,5,-3,-2,-2,-5,-1,0,<50k
19,40,-2,-5,-2,0,0,0,<50k
45,55,-1,-1,-4,0,-1,-1,>=50k
60,40,-2,-5,-4,0,-1,-1,>=50k
42,40,-2,0,-4,-1,0,-1,>=50k
44,40,-1,-5,-4,-3,-1,0,>=50k
40,40,-2,0,-4,0,0,-1,>=50k
30,40,-2,-5,-4,-1,-1,0,<50k
38,50,-2,-1,-4,0,0,-1,<50k
23,60,-2,-5,-4,0,-1,-1,<50k
32,40,-3,-1,-4,-5,-1,-1,<50k
44,40,-2,0,-2,0,-1,-1,<50k
54,40,0,-5,-4,0,0,-1,<50k
32,50,-2,-7,-4,-4,-1,-1,<50k
50,40,-2,-2,-4,0,-1,-1,<50k
24,20,-2,-7,-2,-2,-1,0,<50k
37,60,-2,-5,-4,-1,-1,0,<50k
52,40,-2,-5,0,0,-1,-1,<50k
38,40,-2,-1,-4,0,-1,-1,<50k
49,45,-2,-4,-4,-1,-1,-1,>=50k
30,16,-2,-7,-4,-2,-1,0,>=50k
60,40,-2,-1,-2,-4,-1,-1,>=50k
22,40,-3,-1,-2,-5,-1,-1,<50k
35,40,-2,-5,-2,0,-1,-1,<50k
30,60,-2,-5,-2,0,-1,-1,<50k
67,24,-2,0,0,-2,-1,0,<50k
46,40,-2,-7,-2,0,-1,0,<50k
17,6,-2,-2,-2,-2,-1,-1,<50k
22,30,-2,-1,-2,0,-1,-1,<50k
27,40,-2,-2,-2,-2,-1,-1,<50k
23,35,-2,-5,-2,-2,-1,0,<50k
33,45,-2,0,-4,0,-1,-1,<50k
43,20,-1,-1,-4,0,-1,-1,<50k
28,20,0,-7,-2,-4,-1,-1,<50k
41,40,-2,-5,-4,0,-1,0,<50k
52,40,-3,-2,-2,-5,0,-1,<50k
25,20,-2,-1,-4,-1,0,0,<50k
63,35,-3,-2,-4,-5,-1,-1,<50k
59,45,0,-5,-4,0,-1,-1,<50k
45,40,0,-7,0,-4,-1,0,<50k
38,60,-2,-7,-4,-3,-1,-1,>=50k
40,35,-2,-5,-2,-2,-1,0,<50k
46,40,0,-5,0,-1,-1,-1,<50k
35,60,-2,0,-2,-1,-1,0,<50k
34,25,-2,-5,0,-4,-1,0,<50k
33,20,-2,-7,-2,0,-1,-1,<50k
41,36,-2,-5,0,-1,-1,0,<50k
20,40,-2,-1,-2,0,-1,-1,<50k
23,40,-2,-2,-2,-2,-1,-1,<50k
26,35,-2,-1,-2,-4,-1,0,<50k
72,20,-3,-5,-4,-5,-1,-1,<50k
23,40,0,-5,-2,0,-1,-1,<50k
62,40,0,-5,-4,0,-1,-1,<50k
52,40,-2,-1,-4,-1,-1,-1,<50k
58,42,-2,-1,0,-2,-1,0,<50k
25,40,-2,-7,-2,-3,-1,0,<50k
24,40,-2,-7,-2,-1,0,-1,<50k
19,8,-2,-1,-2,-2,-1,-1,<50k
43,40,-2,-1,-4,-1,-1,-1,<50k
47,40,0,-5,-3,-1,0,0,<50k
39,40,-2,-5,0,-2,-1,0,<50k
49,42,-2,0,-4,0,-1,-1,<50k
53,30,-3,-2,-1,-5,0,0,<50k
32,45,-2,0,-2,0,-1,-1,<50k
34,50,-2,-1,-4,-4,-1,-1,>=50k
28,45,-2,-5,0,0,-1,-1,<50k
57,38,-3,0,-1,-5,-1,0,<50k
25,20,-2,-1,-2,-1,0,0,<50k
20,24,-3,-1,-2,-5,-1,-1,<50k
21,35,-3,-1,-2,-5,-1,0,<50k
34,50,-2,-7,-4,-4,-1,-1,>=50k
38,80,-1,-7,-4,-1,-1,-1,>=50k
50,50,-2,-5,-4,-1,-1,-1,>=50k
24,50,0,-1,0,0,0,-1,<50k
37,45,0,-1,-4,-2,-1,-1,>=50k
44,58,-2,-1,0,0,-1,-1,>=50k
28,40,-2,-1,-4,-3,-1,0,<50k
42,40,-2,-7,-4,-1,-1,-1,>=50k
74,9,-2,-1,0,-1,-1,0,<50k
38,50,-1,-5,-4,0,-1,-1,<50k
44,40,-1,-4,-4,-4,-1,-1,<50k
44,46,-2,-2,0,0,0,0,<50k
26,40,-2,-5,-2,0,-1,-1,<50k
36,40,-2,-5,-4,-2,0,-1,<50k
41,50,-2,0,-4,-1,-1,0,>=50k
67,48,-2,-3,-4,-4,-1,-1,>=50k
39,50,0,-2,-4,-2,-1,-1,<50k
57,30,-2,-2,-1,-2,0,0,<50k
29,40,-2,0,-3,0,-1,-1,<50k
31,45,-1,-7,-2,0,-1,0,<50k
34,40,-3,-5,-2,-5,0,0,<50k
44,40,-2,-1,-4,0,-1,-1,<50k
29,40,-2,-6,-2,-4,-1,-1,<50k
30,40,-2,-1,-2,0,-1,0,<50k
27,40,-2,-5,-2,0,-1,-1,<50k
27,50,-2,-1,-4,-3,-1,-1,<50k
32,45,-2,-5,-2,0,-1,0,<50k
58,8,-2,-2,-4,-2,-1,0,<50k
35,40,0,-1,-4,-2,-1,-1,<50k
21,36,-2,-5,-2,0,-1,-1,<50k
28,40,-2,-1,-2,0,-1,-1,<50k
46,50,-1,-1,0,-1,-1,-1,<50k
36,40,-1,-5,-3,-2,-1,0,<50k
72,40,-2,-2,-1,-1,-1,0,<50k
35,40,-2,-5,-4,0,0,0,<50k
33,40,0,0,0,0,0,0,>=50k
69,40,-2,-2,-2,0,-1,0,<50k
35,40,-2,-5,-4,0,-1,-1,<50k
